SACC,Country/Region,SACC_Major_group,Region
6203,"Korea, Republic of (South)",NORTH-EAST ASIA,East Asia & Pacific
7,SOUTHERN and CENTRAL ASIA,SOUTHERN and CENTRAL ASIA,
71, Southern Asia,SOUTHERN and CENTRAL ASIA,South Asia
7101,Bangladesh,SOUTHERN and CENTRAL ASIA,South Asia
7102,Bhutan,SOUTHERN and CENTRAL ASIA,South Asia
7103,India,SOUTHERN and CENTRAL ASIA,South Asia
7104,Maldives,SOUTHERN and CENTRAL ASIA,South Asia
7105,Nepal,SOUTHERN and CENTRAL ASIA,South Asia
7106,Pakistan,SOUTHERN and CENTRAL ASIA,South Asia
7107,Sri Lanka,SOUTHERN and CENTRAL ASIA,South Asia
72,Central Asia,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7201,Afghanistan,SOUTHERN and CENTRAL ASIA,South Asia
7202,Armenia,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7203,Azerbaijan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7204,Georgia,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7205,Kazakhstan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7206,Kyrgyzstan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7207,Tajikistan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7208,Turkmenistan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
7211,Uzbekistan,SOUTHERN and CENTRAL ASIA,Europe & Central Asia
8,AMERICAS,AMERICAS,
81,Northern America,AMERICAS,North America
8101,Bermuda,AMERICAS,North America
8102,Canada,AMERICAS,North America
8103,St Pierre and Miquelon,AMERICAS,North America
8104,United States of America,AMERICAS,North America
82,South America,AMERICAS,Latin America & Caribbean
8201,Argentina,AMERICAS,Latin America & Caribbean
8202,Bolivia,AMERICAS,Latin America & Caribbean
8203,Brazil,AMERICAS,Latin America & Caribbean
8204,Chile,AMERICAS,Latin America & Caribbean
8205,Colombia,AMERICAS,Latin America & Caribbean
8206,Ecuador,AMERICAS,Latin America & Caribbean
8207,Falkland Islands,AMERICAS,
8208,French Guiana,AMERICAS,Latin America & Caribbean
8211,Guyana,AMERICAS,Latin America & Caribbean
8212,Paraguay,AMERICAS,Latin America & Caribbean
8213,Peru,AMERICAS,Latin America & Caribbean
8214,Suriname,AMERICAS,Latin America & Caribbean
8215,Uruguay,AMERICAS,Latin America & Caribbean
8216,Venezuela,AMERICAS,Latin America & Caribbean
8299,"South America, nec",AMERICAS,Latin America & Caribbean
83,Central America,AMERICAS,Latin America & Caribbean
8301,Belize,AMERICAS,Latin America & Caribbean
8302,Costa Rica,AMERICAS,Latin America & Caribbean
8303,El Salvador,AMERICAS,Latin America & Caribbean
8304,Guatemala,AMERICAS,Latin America & Caribbean
8305,Honduras,AMERICAS,Latin America & Caribbean
8306,Mexico,AMERICAS,Latin America & Caribbean
8307,Nicaragua,AMERICAS,Latin America & Caribbean
8308,Panama,AMERICAS,Latin America & Caribbean
84,Caribbean,AMERICAS,Latin America & Caribbean
8401,Anguilla,AMERICAS,Latin America & Caribbean
8402,Antigua and Barbuda,AMERICAS,Latin America & Caribbean
8403,Aruba,AMERICAS,Latin America & Caribbean
8404,Bahamas,AMERICAS,Latin America & Caribbean
8405,Barbados,AMERICAS,Latin America & Caribbean
8406,Cayman Islands,AMERICAS,Latin America & Caribbean
8407,Cuba,AMERICAS,Latin America & Caribbean
8408,Dominica,AMERICAS,Latin America & Caribbean
8411,Dominican Republic,AMERICAS,Latin America & Caribbean
8412,Grenada,AMERICAS,Latin America & Caribbean
8413,Guadeloupe,AMERICAS,Latin America & Caribbean
8414,Haiti,AMERICAS,Latin America & Caribbean
8415,Jamaica,AMERICAS,Latin America & Caribbean
8416,Martinique,AMERICAS,Latin America & Caribbean
8417,Montserrat,AMERICAS,Latin America & Caribbean
8421,Puerto Rico,AMERICAS,Latin America & Caribbean
8422,St Kitts and Nevis,AMERICAS,Latin America & Caribbean
8423,St Lucia,AMERICAS,Latin America & Caribbean
8424,St Vincent and the Grenadines,AMERICAS,Latin America & Caribbean
8425,Trinidad and Tobago,AMERICAS,Latin America & Caribbean
8426,Turks and Caicos Islands,AMERICAS,Latin America & Caribbean
8427,"Virgin Islands, British ",AMERICAS,Latin America & Caribbean
8428,"Virgin Islands, United States",AMERICAS,Latin America & Caribbean
8431,St Barthelemy,AMERICAS,Latin America & Caribbean
8432,St Martin (French part),AMERICAS,Latin America & Caribbean
8433,"Bonaire, Sint Eustatius and Saba",AMERICAS,Latin America & Caribbean
8434,Curacao,AMERICAS,Latin America & Caribbean
8435,Sint Maarten (Dutch part),AMERICAS,Latin America & Caribbean
9,SUB-SAHARAN AFRICA,SUB-SAHARAN AFRICA,
91,Central and West Africa,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9101,Benin,SUB-SAHARAN AFRICA,Sub-Saharan Africa
